stkcd,date,lh_rtnDiff,lh_volDiff,lh_stdDiff
000001.XSHE,2022-12-01,0.2260276338195973465050902702,0.2331566256245484503272496700,0.1536390853747409429132968358
000001.XSHE,2022-12-02,0.07802675724652283262577831569,0.1495969549662004764458196714,0.08825247980920375088080654777
000001.XSHE,2022-12-05,0E+30,0.5374809320472034614359515263,0.2105431795858279604178798930
000001.XSHE,2022-12-06,0.4281048803387075540684722467,0.2998128677179968576477686543,0.2576206359560364042181956882
000001.XSHE,2022-12-07,-0.3176339952421322670229882376,0.7028859121652453430950039040,0.3560220018840977099504458495
000001.XSHE,2022-12-08,-0.06560495846556716578182252375,0.5457703581293801189341760853,0.3626666629194670893453086241
000001.XSHE,2022-12-09,0E+30,0.5166351570496022653996965199,0.2514608741987299075704654593
000001.XSHE,2022-12-12,0.3438772204321608862308783161,0.9648152934531843810727243139,0.5471682209113394636609861883
000001.XSHE,2022-12-13,-0.1417790578285157405634930303,0.3532953685241716431571812366,0.2477379906080721336623819212
000001.XSHE,2022-12-14,1.988938723823969757818916295,0.7062685290599229075526326435,0.4437260509765340130350206243
000001.XSHE,2022-12-15,0.08357982222364042782711152615,0.4310391504034728587916237230,0.1337457042201273243787084632
000001.XSHE,2022-12-16,0.2097368470898865511855360223,0.5060569027250702171908835574,0.3090390061154591645918513789
000001.XSHE,2022-12-19,-0.1136698034390256323438530135,0.7928336929818007620738605150,0.3196801962543694391592194083
000001.XSHE,2022-12-20,-0.8103003328434777602595570423,0.9933142964622197903664312706,0.7960270834210038784358949706
000001.XSHE,2022-12-21,0.4956708813128191560477090336,0.4598712363622344731870927946,0.2339510301777519391152202919
000001.XSHE,2022-12-22,0.3777044288402040965840436072,0.3741189683215862442878165905,0.4308956665622651900593209081
000001.XSHE,2022-12-23,0.3309489535032816725106790036,0.5420958515900321039037092035,0.2917596967880140990453660414
000001.XSHE,2022-12-26,0.1349454873748159967241239326,0.8387424858825672475560143300,0.3124810838795944270946547306
000001.XSHE,2022-12-27,-0.1543661752341653789406122324,0.2539703330167981924751956515,0.3263596793950354763977082073
000001.XSHE,2022-12-28,0.1431307559921120322300625129,0.5649186506112694181450500965,0.2356968004656431755811285826
000001.XSHE,2022-12-29,-0.1771115100371860344462460556,0.4370444414426583817371335945,0.3058478842388216339598709655
000001.XSHE,2022-12-30,-0.9893762284692584178846754392,0.4407394751230180426462547840,0.4500464135370067638213490626
000001.XSHE,2023-01-03,-0.1468912740432405394141935490,0.5022042720954516218911691105,0.1864624841127965789612818597
000001.XSHE,2023-01-04,-0.1270300897733559845375069985,0.9544356979616334633763475611,0.3440982750146570784985695929
000001.XSHE,2023-01-05,-0.1806968367162919428503005692,0.1861134055849305447033145177,0.1135761071912870270255751330
000001.XSHE,2023-01-06,-0.2478587857852599927984080936,0.3287998916251942903589202447,0.2477754438936038865466265172
000001.XSHE,2023-01-09,0.4966325690698850199073189241,0.3922239415350770894311974496,0.2408062705492521479097361181
000001.XSHE,2023-01-10,3.072868711986289861890520515,0.9255430296523340317823148100,0.2135371667150302302591484779
000001.XSHE,2023-01-11,0.05480888455815431447841084600,0.5845577182624714558933585779,0.1970291093570957807548017101
000001.XSHE,2023-01-12,-0.1344978538410024292261573732,0.3978012804863643164833087894,0.1921840970718090053277682989
000001.XSHE,2023-01-16,0.2982473215444535926794776466,0.7949734467722856563076907848,0.4260512275867540368907065383
000001.XSHE,2023-01-17,-0.1585690306782225177600363384,0.4351902822121912730742412566,0.1602190375805866934598116156
000001.XSHE,2023-01-18,-0.3942420107190287415261879531,0.6079089427964351945702036924,0.3288068176465034833508574909
000001.XSHE,2023-01-19,-0.5290712674218540067609318616,0.5876541971717982148229866613,0.3564881700329926907152357391
000001.XSHE,2023-01-20,-0.5006609843336051897931225645,0.8344416138300383353816852917,0.3503414636135881352305385500
000001.XSHE,2023-01-30,0.07354405124815770342498828950,0.2723607572917952573871861919,0.1872324708958967211186422337
000001.XSHE,2023-01-31,0E+29,0.2944615759409679259919350186,0.2541114631832518216073754378
000001.XSHE,2023-02-01,-0.4493959870965788299461259012,0.8794542968916304394102092272,0.3313910246968360374304922524
000001.XSHE,2023-02-02,-0.03486643215029016579843584206,0.3203464612598429856982638468,0.1444093264737666463559423407
000001.XSHE,2023-02-03,0.2153240668932790513851929179,0.4424954963496728927657153693,0.2609223637540262474168935841
000001.XSHE,2023-02-06,-0.5453728545924762230868875919,0.3094235815252659199277713512,0.3001821631427646193954220493
000001.XSHE,2023-02-07,-0.1094393877481626475911297013,0.3109834295163848671998920050,0.2194039498077990387546758241
000001.XSHE,2023-02-08,0.6082288791378424910852155292,0.6229023405463377704876663933,0.3375413987684458507994875494
000001.XSHE,2023-02-09,0.2259428998733976771961001245,0.4923302989033044226220342628,0.1754814666565091343745130454
000001.XSHE,2023-02-10,-0.2018613303139189610749731372,0.4264831519266828656703169901,0.1165669277813999588945824388
000001.XSHE,2023-02-13,-0.2020766085426941568195226575,0.4691401199939229069144133169,0.2105531933081214285767174454
000001.XSHE,2023-02-15,-0.1076678480901866921020005957,0.6858998510863519744514415918,0.1859501939870135533441741765
000001.XSHE,2023-02-16,-0.7527488468757586343693194938,0.8423294375293302643634494626,1.171843202628480242827069826
000001.XSHE,2023-02-17,-1.011129737172962940789079806,0.8827043704792536857271761436,0.5052734767313883975009407448
000001.XSHE,2023-02-20,0.3822428530837321863307035161,0.8594918979808502260391070085,0.2810810679043790028588266005
000001.XSHE,2023-02-21,1.147442112549091446109412455,0.2757412504147879213757295388,0.4752383654044883521227041076
000001.XSHE,2023-02-22,-0.5009529290075632779584121600,0.4377134746881196983664833962,0.5818088421916863809549211751
000001.XSHE,2023-02-23,0.1667166381955573784960551382,0.2488222378104207568393221071,0.2056457863540294531878217095
000001.XSHE,2023-02-24,-0.09209221215508472027499148234,0.3430915945886005766245287203,0.3161433673977430472716117991
000001.XSHE,2023-02-27,-0.6686131386861313868613138688,0.8532592636369008923822469121,0.1770698297991748048735705451
000001.XSHE,2023-02-28,4.519736842105263157894736841,1.204501090825582730508669193,1.004385964912280701754385965
000001.XSHE,2023-03-01,-0.05409085893264971753868354406,0.4468046477850399419026870007,0.1558124032004409552340903639
000001.XSHE,2023-03-02,1.487539563194485665647312122,0.4836272040302267002518891688,0.3662342319431346196126825052
000001.XSHE,2023-03-03,-0E+30,0.8102292230824974255311033983,0.1747653653553085614633533010
000001.XSHE,2023-03-06,-0.1035569403125587780222184677,0.4017860269655051654701453336,0.2129396176274180199068577422
000001.XSHE,2023-03-07,-0.5054755060204057588538843989,1.027664437586773452325376953,0.4422273095052389434170714167
000001.XSHE,2023-03-08,-0.3573039480754142035425832822,0.4040742248456476016011941109,0.3958762270011841942339221931
