stkcd,day,lh_rtnDiff,lh_volDiff,lh_stdDiff
000001.XSHE,2022-12-01,0.01041044674670095431774733669,0.2331566256245484503272496700,0.15363908537474097
000001.XSHE,2022-12-02,0.02736185231876770652175288317,0.1495969549662004764458196714,0.08825247980920374
000001.XSHE,2022-12-05,-0.008403309535259374344936435714,0.5374809320472034614359515263,0.21054317958582794
000001.XSHE,2022-12-06,-0.005999335358948075581050171356,0.2998128677179968576477686543,0.25762063595603646
000001.XSHE,2022-12-07,0.01581907473763802754405459567,0.7028859121652453430950039040,0.3560220018840977
000001.XSHE,2022-12-08,-0.01215752706677563879679398108,0.5457703581293801189341760853,0.3626666629194671
000001.XSHE,2022-12-09,-0.003734062479297032624865242503,0.5166351570496022653996965199,0.2514608741987299
000001.XSHE,2022-12-12,0.004347662963577014256057685477,0.9648152934531843810727243139,0.5471682209113394
000001.XSHE,2022-12-13,-0.006082350189302579846748896535,0.3532953685241716431571812366,0.24773799060807214
000001.XSHE,2022-12-14,-0.0007480397586463509480674764728,0.7062685290599229075526326435,0.443726050976534
000001.XSHE,2022-12-15,0.008369622363472160055897634526,0.4310391504034728587916237230,0.13374570422012733
000001.XSHE,2022-12-16,-0.008498770038424637907971827936,0.5060569027250702171908835574,0.3090390061154592
000001.XSHE,2022-12-19,0.007524613739846660485407574910,0.7928336929818007620738605150,0.31968019625436944
000001.XSHE,2022-12-20,-0.006972614855424412352612240663,0.9933142964622197903664312706,0.7960270834210039
000001.XSHE,2022-12-21,0.001571039811013676949456968292,0.4598712363622344731870927946,0.23395103017775193
000001.XSHE,2022-12-22,-0.003828429511614246942788579709,0.3741189683215862442878165905,0.4308956665622652
000001.XSHE,2022-12-23,-0.003122047728653103284206938027,0.5420958515900321039037092035,0.2917596967880141
000001.XSHE,2022-12-26,0.009990968749620816866965212320,0.8387424858825672475560143300,0.31248108387959445
000001.XSHE,2022-12-27,-0.01703984383779738952308995432,0.2539703330167981924751956515,0.3263596793950355
000001.XSHE,2022-12-28,0.004555886514916376095768778103,0.5649186506112694181450500965,0.23569680046564315
000001.XSHE,2022-12-29,0.01530717406692382703639267794,0.4370444414426583817371335945,0.30584788423882164
000001.XSHE,2022-12-30,-0.003053418811102848702393887219,0.4407394751230180426462547840,0.4500464135370067
000001.XSHE,2023-01-03,-0.02258568236739368050729157575,0.5022042720954516218911691105,0.1864624841127966
000001.XSHE,2023-01-04,-0.01233311123668865537588430368,0.9544356979616334633763475611,0.34409827501465706
000001.XSHE,2023-01-05,-0.009019165994755959861598159927,0.1861134055849305447033145177,0.11357610719128702
000001.XSHE,2023-01-06,-0.006882812598240056174761491525,0.3287998916251942903589202447,0.24777544389360392
000001.XSHE,2023-01-09,0.004095418591939906960216104438,0.3922239415350770894311974496,0.24080627054925216
000001.XSHE,2023-01-10,0.001405403876004286393941880923,0.9255430296523340317823148100,0.21353716671503023
000001.XSHE,2023-01-11,-0.01177199769581299010730602520,0.5845577182624714558933585779,0.1970291093570958
000001.XSHE,2023-01-12,0.01152381777608624165194889248,0.3978012804863643164833087894,0.192184097071809
000001.XSHE,2023-01-13,0.0006698321638279827788311428741,1.219912035185925629748100760,0.22332980816580225
000001.XSHE,2023-01-16,-0.004693630427846484378364475132,0.7949734467722856563076907848,0.42605122758675407
000001.XSHE,2023-01-17,0.02450314018743380334934548116,0.4351902822121912730742412566,0.1602190375805867
000001.XSHE,2023-01-18,-0.009325303523878520935792852028,0.6079089427964351945702036924,0.3288068176465035
000001.XSHE,2023-01-19,0.02122226130327597880033041580,0.5876541971717982148229866613,0.3564881700329927
000001.XSHE,2023-01-20,-0.001981207706882378143215991717,0.8344416138300383353816852917,0.35034146361358814
000001.XSHE,2023-01-30,0.008315620210577635603689855186,0.2723607572917952573871861919,0.1872324708958967
000001.XSHE,2023-01-31,-0.01509230133765449750579862104,0.2944615759409679259919350186,0.25411146318325184
000001.XSHE,2023-02-01,0.01542506736842189072442074322,0.8794542968916304394102092272,0.33139102469683607
000001.XSHE,2023-02-02,0.02035815821419924423993134136,0.3203464612598429856982638468,0.14440932647376667
000001.XSHE,2023-02-03,0.007603533895225695871805028134,0.4424954963496728927657153693,0.2609223637540262
000001.XSHE,2023-02-06,0.01424963035806424934259600551,0.3094235815252659199277713512,0.30018216314276464
000001.XSHE,2023-02-07,-0.01420096680965923362317236110,0.3109834295163848671998920050,0.21940394980779904
000001.XSHE,2023-02-08,0.001374386211234396153055884132,0.6229023405463377704876663933,0.33754139876844585
000001.XSHE,2023-02-09,-0.01215504677468572574389782692,0.4923302989033044226220342628,0.17548146665650913
000001.XSHE,2023-02-10,0.004265017627735942693826351474,0.4264831519266828656703169901,0.11656692778139997
000001.XSHE,2023-02-13,0.01724509833826663648815363368,0.4691401199939229069144133169,0.21055319330812144
000001.XSHE,2023-02-14,0,0.3683204888503807743171143235,0.28362634644648216
000001.XSHE,2023-02-15,0.01508469641665393611491842481,0.6858998510863519744514415918,0.18595019398701357
000001.XSHE,2023-02-16,-0.005128745711414070619954117026,0.8423294375293302643634494626,1.1718432026284802
000001.XSHE,2023-02-17,-0.007371050259697576872078349685,0.8827043704792536857271761436,0.5052734767313884
000001.XSHE,2023-02-20,-0.004575623244116117009626241009,0.8594918979808502260391070085,0.281081067904379
000001.XSHE,2023-02-21,0.000733753374125729887306408665,0.2757412504147879213757295388,0.4752383654044883
000001.XSHE,2023-02-22,-0.002137123565865017983419577594,0.4377134746881196983664833962,0.5818088421916863
000001.XSHE,2023-02-23,-0.01428082268607749814802926130,0.2488222378104207568393221071,0.20564578635402944
000001.XSHE,2023-02-24,0.008568461413227994737163690000,0.3430915945886005766245287203,0.31614336739774307
000001.XSHE,2023-02-27,-0.003643260128135658049915532464,0.8532592636369008923822469121,0.17706982979917482
000001.XSHE,2023-02-28,0.005123343292729640695625526698,1.204501090825582730508669193,1.0043859649122808
000001.XSHE,2023-03-01,-0.01375289748986076505060851480,0.4468046477850399419026870007,0.15581240320044093
000001.XSHE,2023-03-02,0.000690581730325057944075606030,0.4836272040302267002518891688,0.36623423194313465
000001.XSHE,2023-03-03,0.004875991226590180529778977560,0.8102292230824974255311033983,0.17476536535530857
000001.XSHE,2023-03-06,0.02314971498068062699521186767,0.4017860269655051654701453336,0.212939617627418
000001.XSHE,2023-03-07,-0.002175555315637098320052229297,1.027664437586773452325376953,0.4422273095052389
000001.XSHE,2023-03-08,0.01693324857506941083708366428,0.4040742248456476016011941109,0.3958762270011842
000001.XSHE,2023-03-09,0.01036090509338310930946246360,0.5203821814532516110839256538,0.22832375091884802
000001.XSHE,2023-03-10,-0.01688090759728186863572768842,0.3861686163641941019922564813,0.30005660425395597
000001.XSHE,2023-03-13,0.003050993418219843759611244387,0.7677102883841957900566570993,0.25117294853334576
000001.XSHE,2023-03-14,0.01387746169166482827057809318,0.5590246052553042024986340617,0.2832337790511223
000001.XSHE,2023-03-15,-0.004592516244549291931911091385,0.3035435550042934834462360462,0.25018192474515766
000001.XSHE,2023-03-16,-0.004659140486588784684516527314,0.8473483306489200398827117884,0.5308995333010971
000001.XSHE,2023-03-17,0.01399254035770781813425401908,0.8558113150340605118123713256,0.4852443596992796
000001.XSHE,2023-03-20,-0.003141976401833299125073999244,0.3859660448002065715576786521,0.23829362847399316
000001.XSHE,2023-03-21,0.006318591475292629997587464155,0.4745399623955861048608328453,0.2849889739124983
000001.XSHE,2023-03-22,-0.005496642879483493604434345894,0.5139347469587123493644840912,0.29332218118108594
000001.XSHE,2023-03-23,0.001544720906924729725847018861,1.109227454492255038436643820,0.21157637205660523
000001.XSHE,2023-03-24,0.003893885343918002311209365422,0.4271365913160831538241935065,0.3009452385027219
000001.XSHE,2023-03-27,0.02035766366412312035942466622,0.2364348874598070739549839228,0.20352809650915826
000001.XSHE,2023-03-28,0.001580926882131701408809842545,0.4262816728090837336780544800,0.33351264120494895
000001.XSHE,2023-03-29,0.007842937559713787864989472251,0.3416286973281844867158395140,0.23441072279967642
000001.XSHE,2023-03-30,0.01033700135539290347726426788,0.6846403316671960413915311189,0.4961543416799279
000001.XSHE,2023-03-31,-0.002375224885409425878879582773,0.8844447506200055111600992009,0.4501622823557436
000001.XSHE,2023-04-03,-0.002385744693164937912762769522,0.4180345111521147246380295827,0.17441195987895003
000001.XSHE,2023-04-04,0.0007917150847262836638530985430,0.7187428951188373353853687543,0.46182495344506524
000001.XSHE,2023-04-06,0.005568367586278413618753022502,0.5092448835568101623147494707,0.6695541054075292
000001.XSHE,2023-04-07,-0.007161360204288499239536496482,0.5536546432893076903272315337,0.22136412064349942
000001.XSHE,2023-04-10,0.004742031809497647005492665540,0.4281474114420245374938811664,0.4982614328859415
000001.XSHE,2023-04-11,0.008651977543386177903473207814,0.4886634505509278649024565540,0.1688092653161894
000001.XSHE,2023-04-12,0.006372859446662362624307988394,0.6784864350309376487386958591,0.335940130807016
000001.XSHE,2023-04-13,0.001667815954466564163277993179,0.5843673374742835153016167467,0.3279542694571384
000001.XSHE,2023-04-14,-0.01905372659124575986543712347,0.1936381545113011340358951562,0.10257650363021259
000001.XSHE,2023-04-17,-0.002395622746710218742289212245,0.6973102983566053981207651705,0.24478904674240345
000001.XSHE,2023-04-18,-0.01235310639699823537527445488,0.2751139570657418211328281136,0.22399027108529523
000001.XSHE,2023-04-19,0.006893389728283960636703738092,0.5145437877714876589606676891,0.2812661828878348
000001.XSHE,2023-04-20,0.01163983414340000688437679503,0.4477438489672824234819372456,0.27016169729452544
000001.XSHE,2023-04-21,-0.01344193088616002610521960087,1.137489588593689540061779809,0.4047831336564824
000001.XSHE,2023-04-24,0.01370052540764378406316522218,0.6075052130341414833027294513,0.40245872041679964
000001.XSHE,2023-04-25,-0.01149975013359224132929982058,0.3863304103862740734689738512,0.23691405463076948
000001.XSHE,2023-04-26,0.01387309429540473652044991504,0.2679183727820500016645028130,0.23295585440602992
000001.XSHE,2023-04-27,0,0.6273503954633636770631249067,0.5469834796580376
000001.XSHE,2023-04-28,-0.03584228348680289465957655006,0.1852045985422002082571131061,0.1103513191147131
000001.XSHE,2023-05-04,-0.006449807351869207539310632094,0.3308219050400482194232310742,0.22746809938835108
000001.XSHE,2023-05-05,-0.01329906477137101612180074136,0.2080749915096579519191178459,0.16487828293357082
000001.XSHE,2023-05-08,0.004592063344914176680391430366,0.5636842274001588766070226310,0.21640075754277505
000001.XSHE,2023-05-09,0.004495074133822290233447490065,0.2560517868829185696626373360,0.33967100566053565
000001.XSHE,2023-05-10,0.02130517946327897103746725283,0.2190230517634416454963249678,0.13528617854345368
000001.XSHE,2023-05-11,-0.008503774301539721277644918959,0.3475770891848630364531424602,0.22732794771418244
000001.XSHE,2023-05-12,0.004645845826083033314591699354,0.6199282188378187788782351517,0.35785296519701754
